,vtoken len,total token len,recall,overall anls,[1-5],[5-10],[10-15],[15-20],[20-]
notrain_qwen2vl-7b.csv,,,,,,,,,
vqa-dude-mpdocvqa-val-unsupervised-cls-v3-top3-test2,417.2298,2007.4773887673232,,52.87,55.71,49.51,50.19,48.38,41.75
vqa-dude-mpdocvqa-val-unsupervised-cls-v3-top3,794.2719,3165.2343180160465,,55.19,59.050000000000004,49.44,51.82,49.46,41.74
vqa-dude-mpdocvqa-val-unsupervised-cls-v3-top5-test2,438.9347,2196.8884026258206,,53.32,55.86,50.64999999999999,50.63999999999999,48.47,43.75
vqa-dude-mpdocvqa-val-unsupervised-cls-v3-top5,863.4032,3768.2035010940917,,56.05,59.19,52.35999999999999,53.400000000000006,49.97,43.95
vqa-dude-mpdocvqa-val-unsupervised-cls-v4-top3_mix-test2,,,,,,,,,
vqa-dude-mpdocvqa-val-unsupervised-cls-v4-top3_mix,,,,,,,,,
vqa-dude-mpdocvqa-val-unsupervised-cls-v4-top5_mix-test2,,,,,,,,,
vqa-dude-mpdocvqa-val-unsupervised-cls-v4-top5_mix,863.0974,3763.7667760758573,,56.14,59.19,54.169999999999995,52.25,49.89,43.28
vqa-dude-mpdocvqa-val,247.1606,1481.319657184537,,48.63,50.06,47.39,48.97,48.04,38.279999999999994
vqa-mpdocvqa-val-unsupervised-cls-v3-top3-test2,421.5119,1974.7906304222095,,79.36,85.91,70.42,72.58,63.06,62.760000000000005
vqa-mpdocvqa-val-unsupervised-cls-v3-top3,793.7382,3086.9305957200695,,81.64,88.69,72.37,74.42999999999999,63.849999999999994,63.129999999999995
vqa-mpdocvqa-val-unsupervised-cls-v3-top5-test2,443.8211,2165.786389049547,,80.2,86.03,74.28,72.85000000000001,64.63,63.27
vqa-mpdocvqa-val-unsupervised-cls-v3-top5,863.3322,3681.433198380567,,82.78,88.97,77.10000000000001,75.32,65.19,63.71
vqa-mpdocvqa-val-unsupervised-cls-v4-top3_mix-test2,420.9397,1967.0881048775786,,79.23,85.94000000000001,70.12,69.73,60.940000000000005,64.8
vqa-mpdocvqa-val-unsupervised-cls-v4-top3_mix,792.9446,3078.0871409292463,,81.62,88.84,72.05,71.49,64.17,64.79
vqa-mpdocvqa-val-unsupervised-cls-v4-top5_mix-test2,443.5078,2160.628108733372,,80.23,86.03,74.62,72.41,62.09,64.21
vqa-mpdocvqa-val-unsupervised-cls-v4-top5_mix,863.087,3677.3578176209753,,82.61,88.97,76.12,73.45,63.190000000000005,66.0
vqa-mpdocvqa-val,245.032,1447.770194717563,,72.55,77.19,64.95,70.23,60.85,61.01
vqa-newsvqa-val-unsupervised-cls-v3-top3-test2,282.5618,6140.682584269663,,69.03,,,,,
vqa-newsvqa-val-unsupervised-cls-v3-top3,354.3258,7635.693820224719,,69.17999999999999,,,,,
vqa-newsvqa-val-unsupervised-cls-v3-top5-test2,303.618,6576.345505617977,,69.31,,,,,
vqa-newsvqa-val-unsupervised-cls-v3-top5,422.6068,9068.030898876405,,69.28999999999999,,,,,
vqa-newsvqa-val-unsupervised-cls-v4-top3_mix-test2,281.3989,6115.283707865168,,69.19999999999999,,,,,
vqa-newsvqa-val-unsupervised-cls-v4-top3_mix,352.9902,7610.294943820225,,69.66,,,,,
vqa-newsvqa-val-unsupervised-cls-v4-top5_mix-test2,302.5997,6554.283707865168,,69.3,,,,,
vqa-newsvqa-val-unsupervised-cls-v4-top5_mix,421.4368,9045.969101123595,,69.8,,,,,
vqa-newsvqa-val,252.0,5487.188202247191,,68.72,,,,,
vqa-slidevqa-val-unsupervised-cls-v3-top3-test2,277.172,5745.093711467324,,59.209999999999994,,,,,
vqa-slidevqa-val-unsupervised-cls-v3-top3,344.8477,7110.92231812577,,59.84,,,,,
vqa-slidevqa-val-unsupervised-cls-v3-top5-test2,302.1683,6244.639950678175,,59.919999999999995,,,,,
vqa-slidevqa-val-unsupervised-cls-v3-top5,415.82,8521.020961775586,,60.540000000000006,,,,,
vqa-slidevqa-val-unsupervised-cls-v4-top3_mix-test2,275.4457,5711.40813810111,,59.29,,,,,
vqa-slidevqa-val-unsupervised-cls-v4-top3_mix,343.1732,7077.236744759556,,60.49,,,,,
vqa-slidevqa-val-unsupervised-cls-v4-top5_mix-test2,300.6812,6215.580147965475,,59.9,,,,,
vqa-slidevqa-val-unsupervised-cls-v4-top5_mix,414.315,8491.961159062885,,60.870000000000005,,,,,
vqa-slidevqa-val,239.8052,4995.7743526510485,,58.4,,,,,
